rk,conf,adjoe,oe_rank,adjde,de_rank,barthag,barthag_rank,sos,nconf_sos,conf_sos,proj_sos,proj_nconf_sos,proj_conf_sos,elite_sos,elite_nconf_sos,opp_oe,opp_de,proj_opp_oe,proj_opp_de,conf_adj_oe,conf_adj_de,qual_o,qual_d,qual_barthag,qual_games,fun,conf_pf,conf_pa,conf_poss,conf_oe,conf_de,conf_win%,wab,wab_rk,fun_rk,adjt,Year,Team,qual_games_ratio
1,B12,125.12712299184957,8,88.16445981799399,1,0.9824750976122859,1,0.7557431142843615,0.5599517935689211,0.8551110024604988,0.7613480966230578,0.5599517935689211,0.8551110024604988,0.6146346863588211,0.7675691384636057,113.44310969902737,99.61991614652615,113.75801406177078,99.53507039194479,125.79695013994194,88.61353421472934,138.03579238307785,95.68473744276461,0.9854315791182237,14,0.001559173561998195,1442.0,1194.0,1251.45,1.1522633744855966,0.9540932518278796,0.95,10.764706588924078,2,171,61.44903467269929,2025,houston,0.42424242424242425
2,ACC,128.54732141121923,2,91.41025724503575,4,0.9805602300795837,2,0.6849657211862497,0.6450302118929524,0.6964827087783895,0.6921304849566231,0.6450302118929524,0.6964827087783895,0.69434168655478,0.6692664447988733,112.00171577850291,102.29933304616611,112.19189852482266,102.0783147271199,130.66927773133486,93.44374451925871,134.00904085328108,95.38719947451152,0.9803450051509442,10,0.006858093180882485,1688.0,1254.0,1315.7250000000001,1.2829428642003458,0.953086701248361,0.95,8.859070240950718,5,156,65.92080723884524,2025,duke,0.30303030303030304
3,SEC,129.28745243200092,1,93.46164981018823,12,0.9766059394173844,3,0.7987215489599698,0.6609992654963397,0.8925704256216882,0.8034974248947689,0.6609992654963397,0.8925704256216882,0.5455796432322446,0.652549879439194,116.35356447331968,99.17140389965148,116.4197638320426,98.91277325602685,128.68263245282583,94.48608944489757,135.53750261674784,96.20382338814932,0.9809594767541678,21,0.07018500256765081,1492.0,1327.0,1262.35,1.181922604665901,1.0512140056244308,0.8333333333333334,12.615659975589521,1,39,67.97407301464816,2025,auburn,0.65625
4,SEC,126.2036192316219,5,93.90103898853991,13,0.9677056146904014,4,0.7147261816509378,0.470478904944598,0.878942804708239,0.7222786254127644,0.470478904944598,0.878942804708239,0.6332355156455883,0.8623086373852733,113.14698747671967,101.33993100699834,113.59200321498606,101.17987526151974,127.21240395087835,94.21135626133736,133.2546047238536,96.7355614938659,0.9754748711366686,14,0.059462777568233594,1483.0,1289.0,1253.575,1.1830165726023572,1.0282591787487785,0.7777777777777778,9.467477224232073,4,46,69.55415981965909,2025,florida,0.4375
5,SEC,127.83250684021365,3,96.05809140560197,25,0.9639568257959172,5,0.822475034373827,0.7210160447158666,0.8897057735395892,0.8268759610499874,0.7210160447158666,0.8897057735395892,0.5369837269048343,0.6617540652510807,117.52273358041386,99.32849014187698,117.78579072134475,99.16402192512417,130.46010598761188,97.44244426807784,133.44304862170904,99.19474605356714,0.9680398039990853,21,0.04537066496022191,1657.0,1509.0,1384.85,1.1965194786438966,1.089648698414991,0.7222222222222222,9.863568024092315,3,66,74.71934072569105,2025,alabama,0.65625
6,SEC,118.53814331182085,23,90.6365926595667,3,0.9563254548134523,6,0.7339190425836106,0.5092192213235399,0.88961680878394,0.7412731909724644,0.5092192213235399,0.88961680878394,0.5999612130889441,0.8003223322184257,115.27727272119631,101.77128123881025,115.70182362150614,101.51947422582623,117.34871980735167,91.55271666936274,124.56004584789964,93.54178851679298,0.9642005114768307,18,0.061455859603326224,1270.0,1189.0,1167.6375,1.08766633479997,1.0182954898245389,0.6666666666666666,8.4742344156081,6,44,63.98087477755723,2025,tennessee,0.5625
7,B12,125.9992318785035,6,96.72129354570205,30,0.9543961045338327,7,0.7162263987962886,0.44548191639863083,0.8443314079860527,0.7162263987962886,0.44548191639863083,0.8443314079860527,0.6482874076266114,0.8769766609108466,112.049242359264,100.37689876253305,112.049242359264,100.37689876253305,126.09668206894389,96.01219597407508,132.61281487627457,101.47935633298044,0.955940333620536,13,-0.014782644452836724,1565.0,1374.0,1343.6875,1.1647053351318666,1.022559188799479,0.75,5.743048603531154,9,219,65.64323896203452,2025,texas-tech,0.3939393939393939
8,B12,118.84426135825173,19,92.38913328355397,8,0.94763605434811,8,0.7334771766512751,0.5006196754652522,0.8451588733553136,0.7334771766512751,0.5006196754652522,0.8451588733553136,0.6333474823031865,0.7949020376830511,113.04831674912754,101.11001899405629,113.04831674912754,101.11001899405629,115.7982772456451,90.51301776772017,130.75826171891453,98.87994175081334,0.9613430470458867,14,-0.01568891779720727,1511.0,1373.0,1411.9249999999997,1.0701701577633376,0.9724312552012325,0.65,5.36151022380462,14,222,68.61277989339608,2025,iowa-state,0.42424242424242425
9,B10,117.65727499099255,30,91.65737419753239,5,0.9464327961446948,9,0.6671541355930654,0.3378110922356321,0.8354981041619798,0.6742627316331846,0.3378110922356321,0.8354981041619798,0.6874437828404477,0.9061470936770302,111.79825841459589,103.52672485010724,111.91337019935045,103.27836762884354,117.33435601798392,92.50932616792404,127.88207530457565,98.17602772394557,0.9543481567436012,12,-0.012724248198629051,1554.0,1413.0,1414.5125000000003,1.098611712515796,0.9989307270172584,0.7,4.912219731226617,17,211,69.89600807590054,2025,maryland,0.375
10,B12,124.14985803369234,10,96.73516048970217,31,0.9463125138129622,10,0.7706048881956763,0.5749551741508574,0.8611901864432967,0.7768363649430882,0.5749551741508574,0.8611901864432967,0.5580870708571332,0.7088908952898533,114.64896725675742,99.42180647857758,114.95714830774737,99.09070804741458,125.20097292408612,97.55678597917829,124.18793358927763,97.9825085210114,0.9385193443483153,20,-0.020300137545539387,1600.0,1490.0,1400.3374999999999,1.1425816990546922,1.0640292072446822,0.7,5.450752923223949,13,230,69.87843181356696,2025,arizona,0.6060606060606061
